q_A^-1,E_v_eV,E_c1_eV,E_c2_eV,E_c3_eV
-1.676999999999999880e-01,-4.358662263285859595e-01,3.948167855555904243e-02,6.139856693056298248e-02,6.139856693056295472e-02
-1.673999999999999932e-01,-4.342009328393530154e-01,3.941203900964566909e-02,6.125058289549704243e-02,6.125058289549701468e-02
-1.670999999999999985e-01,-4.325386210752573124e-01,3.934252415405620901e-02,6.110286382736946492e-02,6.110286382736943717e-02
-1.668000000000000038e-01,-4.308792910362990725e-01,3.927313398879068995e-02,6.095540972618020831e-02,6.095540972618019443e-02
-1.664999999999999813e-01,-4.292229427224780736e-01,3.920386851384908417e-02,6.080822059192931422e-02,6.080822059192928647e-02
-1.661999999999999866e-01,-4.275695761337946488e-01,3.913472772923141246e-02,6.066129642461675492e-02,6.066129642461674104e-02
-1.658999999999999919e-01,-4.259191912702486871e-01,3.906571163493766791e-02,6.051463722424254427e-02,6.051463722424253039e-02
-1.655999999999999972e-01,-4.242717881318399664e-01,3.899682023096785050e-02,6.036824299080668227e-02,6.036824299080665451e-02
-1.653000000000000025e-01,-4.226273667185687088e-01,3.892805351732196023e-02,6.022211372430916893e-02,6.022211372430914117e-02
-1.649999999999999800e-01,-4.209859270304346923e-01,3.885941149399999017e-02,6.007624942474999036e-02,6.007624942474996260e-02
-1.646999999999999853e-01,-4.193474690674381389e-01,3.879089416100195420e-02,5.993065009212916044e-02,5.993065009212913269e-02
-1.643999999999999906e-01,-4.177119928295790485e-01,3.872250151832785231e-02,5.978531572644667919e-02,5.978531572644666531e-02
-1.640999999999999959e-01,-4.160794983168573102e-01,3.865423356597767063e-02,5.964024632770254658e-02,5.964024632770251882e-02
-1.638000000000000012e-01,-4.144499855292730350e-01,3.858609030395141609e-02,5.949544189589676263e-02,5.949544189589673487e-02
-1.635000000000000064e-01,-4.128234544668261119e-01,3.851807173224908870e-02,5.935090243102931346e-02,5.935090243102929958e-02
-1.631999999999999840e-01,-4.111999051295164298e-01,3.845017785087068152e-02,5.920662793310021293e-02,5.920662793310019906e-02
-1.628999999999999893e-01,-4.095793375173443218e-01,3.838240865981621536e-02,5.906261840210944719e-02,5.906261840210943331e-02
-1.625999999999999945e-01,-4.079617516303095659e-01,3.831476415908566940e-02,5.891887383805703010e-02,5.891887383805703010e-02
-1.622999999999999998e-01,-4.063471474684121620e-01,3.824724434867905060e-02,5.877539424094298942e-02,5.877539424094297554e-02
-1.620000000000000051e-01,-4.047355250316521103e-01,3.817984922859635893e-02,5.863217961076726964e-02,5.863217961076725576e-02
-1.617000000000000104e-01,-4.031268843200296326e-01,3.811257879883759442e-02,5.848922994752989851e-02,5.848922994752989851e-02
-1.613999999999999879e-01,-4.015212253335442849e-01,3.804543305940275705e-02,5.834654525123084828e-02,5.834654525123084828e-02
-1.610999999999999932e-01,-3.999185480721964003e-01,3.797841201029184682e-02,5.820412552187018834e-02,5.820412552187017446e-02
-1.607999999999999985e-01,-3.983188525359860899e-01,3.791151565150487068e-02,5.806197075944784930e-02,5.806197075944783542e-02
-1.605000000000000038e-01,-3.967221387249130204e-01,3.784474398304181475e-02,5.792008096396385891e-02,5.792008096396384503e-02
-1.602000000000000091e-01,-3.951284066389774141e-01,3.777809700490269290e-02,5.777845613541821718e-02,5.777845613541821718e-02
-1.598999999999999866e-01,-3.935376562781790488e-01,3.771157471708748432e-02,5.763709627381089634e-02,5.763709627381089634e-02
-1.595999999999999919e-01,-3.919498876425181466e-01,3.764517711959621676e-02,5.749600137914195191e-02,5.749600137914193804e-02
-1.592999999999999972e-01,-3.903651007319947075e-01,3.757890421242886941e-02,5.735517145141134226e-02,5.735517145141132839e-02
-1.590000000000000024e-01,-3.887832955466087315e-01,3.751275599558544921e-02,5.721460649061909515e-02,5.721460649061908127e-02
-1.587000000000000077e-01,-3.872044720863599965e-01,3.744673246906596309e-02,5.707430649676516893e-02,5.707430649676515505e-02
-1.583999999999999853e-01,-3.856286303512485025e-01,3.738083363287039024e-02,5.693427146984957748e-02,5.693427146984959136e-02
-1.580999999999999905e-01,-3.840557703412746937e-01,3.731505948699875841e-02,5.679450140987236245e-02,5.679450140987236245e-02
-1.577999999999999958e-01,-3.824858920564381259e-01,3.724941003145105373e-02,5.665499631683348220e-02,5.665499631683346832e-02
-1.575000000000000011e-01,-3.809189954967391323e-01,3.718388526622726925e-02,5.651575619073295059e-02,5.651575619073293671e-02
-1.572000000000000064e-01,-3.793550806621773797e-01,3.711848519132741192e-02,5.637678103157076764e-02,5.637678103157073989e-02
-1.568999999999999839e-01,-3.777941475527529791e-01,3.705320980675148174e-02,5.623807083934690559e-02,5.623807083934687784e-02
-1.565999999999999892e-01,-3.762361961684659306e-01,3.698805911249948564e-02,5.609962561406140608e-02,5.609962561406139220e-02
-1.562999999999999945e-01,-3.746812265093164562e-01,3.692303310857140974e-02,5.596144535571424133e-02,5.596144535571424133e-02
-1.559999999999999998e-01,-3.731292385753043339e-01,3.685813179496726794e-02,5.582353006430545300e-02,5.582353006430543912e-02
-1.557000000000000051e-01,-3.715802323664295637e-01,3.679335517168704633e-02,5.568587973983498557e-02,5.568587973983497169e-02
-1.553999999999999826e-01,-3.700342078826921455e-01,3.672870323873075882e-02,5.554849438230286679e-02,5.554849438230283903e-02
-1.550999999999999879e-01,-3.684911651240920794e-01,3.666417599609839845e-02,5.541137399170909666e-02,5.541137399170906891e-02
-1.547999999999999932e-01,-3.669511040906294763e-01,3.659977344378995828e-02,5.527451856805366132e-02,5.527451856805366132e-02
-1.544999999999999984e-01,-3.654140247823043364e-01,3.653549558180544526e-02,5.513792811133658850e-02,5.513792811133657462e-02
-1.542000000000000037e-01,-3.638799271991165485e-01,3.647134241014487327e-02,5.500160262155785046e-02,5.500160262155785046e-02
-1.538999999999999813e-01,-3.623488113410660016e-01,3.640731392880821454e-02,5.486554209871744719e-02,5.486554209871743332e-02
-1.535999999999999865e-01,-3.608206772081529179e-01,3.634341013779548296e-02,5.472974654281540646e-02,5.472974654281540646e-02
-1.532999999999999918e-01,-3.592955248003772972e-01,3.627963103710668546e-02,5.459421595385170051e-02,5.459421595385170051e-02
-1.529999999999999971e-01,-3.577733541177391396e-01,3.621597662674181511e-02,5.445895033182635708e-02,5.445895033182634321e-02
