path_A^-1,kx_A^-1,ky_A^-1,E_v_eV,E_c1_eV,E_v_local,E_c1_local
4.733096276594792040e-02,1.135943106382750090e+00,0.000000000000000000e+00,-2.134510526616663739e+01,5.798314146770867650e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.071174582065848813e-02,1.132562323328039522e+00,0.000000000000000000e+00,-2.121806183120349942e+01,5.766831695774363720e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.409252887536905585e-02,1.129181540273328954e+00,0.000000000000000000e+00,-2.109139706519703950e+01,5.735566979427946244e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.747331193007961664e-02,1.125800757218618386e+00,0.000000000000000000e+00,-2.096511096814725406e+01,5.704519997731615222e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.085409498479018436e-02,1.122419974163907819e+00,0.000000000000000000e+00,-2.083920354005413245e+01,5.673690750685369544e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.423487803950074515e-02,1.119039191109197251e+00,0.000000000000000000e+00,-2.071367478091768533e+01,5.643079238289209210e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.761566109421131288e-02,1.115658408054486683e+00,0.000000000000000000e+00,-2.058852469073790914e+01,5.612685460543135330e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.099644414892188060e-02,1.112277624999776116e+00,0.000000000000000000e+00,-2.046375326951479678e+01,5.582509417447146793e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.437722720363244833e-02,1.108896841945065548e+00,0.000000000000000000e+00,-2.033936051724836602e+01,5.552551109001244711e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.775801025834301605e-02,1.105516058890354980e+00,0.000000000000000000e+00,-2.021534643393859909e+01,5.522810535205427973e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.113879331305358378e-02,1.102135275835644412e+00,0.000000000000000000e+00,-2.009171101958550665e+01,5.493287696059696579e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.451957636776413763e-02,1.098754492780933845e+00,0.000000000000000000e+00,-1.996845427418908514e+01,5.463982591564051638e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.790035942247471923e-02,1.095373709726223277e+00,0.000000000000000000e+00,-1.984557619774933457e+01,5.434895221718492042e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.128114247718527308e-02,1.091992926671512709e+00,0.000000000000000000e+00,-1.972307679026625493e+01,5.406025586523020010e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.466192553189584080e-02,1.088612143616802141e+00,0.000000000000000000e+00,-1.960095605173984268e+01,5.377373685977632212e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.804270858660640853e-02,1.085231360562091574e+00,0.000000000000000000e+00,-1.947921398217010136e+01,5.348939520082329757e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.014234916413169763e-01,1.081850577507381006e+00,0.000000000000000000e+00,-1.935785058155703808e+01,5.320723088837113757e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.048042746960275301e-01,1.078469794452670438e+00,0.000000000000000000e+00,-1.923686584990064219e+01,5.292724392241984210e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.081850577507381117e-01,1.075089011397959871e+00,0.000000000000000000e+00,-1.911625978720092078e+01,5.264943430296942228e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.115658408054486794e-01,1.071708228343249303e+00,0.000000000000000000e+00,-1.899603239345786676e+01,5.237380203001983370e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.149466238601592333e-01,1.068327445288538735e+00,0.000000000000000000e+00,-1.887618366867148012e+01,5.210034710357109855e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.183274069148698149e-01,1.064946662233828167e+00,0.000000000000000000e+00,-1.875671361284177152e+01,5.182906952362323905e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.217081899695803687e-01,1.061565879179117600e+00,0.000000000000000000e+00,-1.863762222596873031e+01,5.155996929017622188e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.250889730242909503e-01,1.058185096124407032e+00,0.000000000000000000e+00,-1.851890950805236002e+01,5.129304640323009146e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.284697560790014903e-01,1.054804313069696464e+00,0.000000000000000000e+00,-1.840057545909265713e+01,5.102830086278479227e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.318505391337120580e-01,1.051423530014985896e+00,0.000000000000000000e+00,-1.828262007908962872e+01,5.076573266884035762e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.352313221884226258e-01,1.048042746960275329e+00,0.000000000000000000e+00,-1.816504336804327480e+01,5.050534182139677641e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.386121052431331935e-01,1.044661963905564761e+00,0.000000000000000000e+00,-1.804784532595359181e+01,5.024712832045407085e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.419928882978437612e-01,1.041281180850854193e+00,0.000000000000000000e+00,-1.793102595282057266e+01,4.999109216601221872e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.453736713525543289e-01,1.037900397796143626e+00,0.000000000000000000e+00,-1.781458524864423154e+01,4.973723335807122004e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.487544544072648967e-01,1.034519614741433058e+00,0.000000000000000000e+00,-1.769852321342455781e+01,4.948555189663107479e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.521352374619754366e-01,1.031138831686722490e+00,0.000000000000000000e+00,-1.758283984716155501e+01,4.923604778169179408e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.555160205166860321e-01,1.027758048632011922e+00,0.000000000000000000e+00,-1.746753514985523026e+01,4.898872101325337791e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.588968035713965998e-01,1.024377265577301355e+00,0.000000000000000000e+00,-1.735260912150556933e+01,4.874357159131581518e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.622775866261071676e-01,1.020996482522590787e+00,0.000000000000000000e+00,-1.723806176211257934e+01,4.850059951587910589e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.656583696808177353e-01,1.017615699467880219e+00,0.000000000000000000e+00,-1.712389307167626029e+01,4.825980478694326115e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.690391527355282753e-01,1.014234916413169874e+00,0.000000000000000000e+00,-1.701010305019662283e+01,4.802118740450829204e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.724199357902388430e-01,1.010854133358459084e+00,0.000000000000000000e+00,-1.689669169767364210e+01,4.778474736857415417e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.758007188449494385e-01,1.007473350303748516e+00,0.000000000000000000e+00,-1.678365901410733585e+01,4.755048467914088084e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.791815018996600062e-01,1.004092567249037948e+00,0.000000000000000000e+00,-1.667100499949770054e+01,4.731839933620846095e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.825622849543705462e-01,1.000711784194327603e+00,0.000000000000000000e+00,-1.655872965384474682e+01,4.708849133977691670e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.859430680090811139e-01,9.973310011396169239e-01,0.000000000000000000e+00,-1.644683297714845338e+01,4.686076068984622589e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.893238510637916816e-01,9.939502180849063562e-01,0.000000000000000000e+00,-1.633531496940883088e+01,4.663520738641637742e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.927046341185022771e-01,9.905694350301957884e-01,0.000000000000000000e+00,-1.622417563062588286e+01,4.641183142948740459e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.960854171732128171e-01,9.871886519754852207e-01,0.000000000000000000e+00,-1.611341496079960578e+01,4.619063281905927409e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.994662002279233848e-01,9.838078689207746530e-01,0.000000000000000000e+00,-1.600303295992999608e+01,4.597161155513201924e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.028469832826339525e-01,9.804270858660640853e-01,0.000000000000000000e+00,-1.589302962801705910e+01,4.575476763770560673e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.062277663373445202e-01,9.770463028113535175e-01,0.000000000000000000e+00,-1.578340496506079305e+01,4.554010106678006986e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.096085493920550602e-01,9.736655197566429498e-01,0.000000000000000000e+00,-1.567415897106119971e+01,4.532761184235538643e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.129893324467656279e-01,9.702847367019323821e-01,0.000000000000000000e+00,-1.556529164601827731e+01,4.511729996443155644e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.163701155014762234e-01,9.669039536472218144e-01,0.000000000000000000e+00,-1.545680298993202406e+01,4.490916543300857988e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.197508985561867911e-01,9.635231705925112466e-01,0.000000000000000000e+00,-1.534869300280244353e+01,4.470320824808646787e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.231316816108973589e-01,9.601423875378006789e-01,0.000000000000000000e+00,-1.524096168462953571e+01,4.449942840966522040e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.265124646656078988e-01,9.567616044830901112e-01,0.000000000000000000e+00,-1.513360903541329705e+01,4.429782591774482636e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.298932477203184666e-01,9.533808214283795435e-01,0.000000000000000000e+00,-1.502663505515372933e+01,4.409840077232528577e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.332740307750290343e-01,9.500000383736689757e-01,0.000000000000000000e+00,-1.492003974385083076e+01,4.390115297340660971e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.366548138297396298e-01,9.466192553189584080e-01,0.000000000000000000e+00,-1.481382310150460668e+01,4.370608252098879820e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.400355968844501697e-01,9.432384722642478403e-01,0.000000000000000000e+00,-1.470798512811504999e+01,4.351318941507182902e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.434163799391607375e-01,9.398576892095372726e-01,0.000000000000000000e+00,-1.460252582368216778e+01,4.332247365565573549e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.467971629938713052e-01,9.364769061548267048e-01,0.000000000000000000e+00,-1.449744518820595474e+01,4.313393524274048429e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.501779460485819007e-01,9.330961231001161371e-01,0.000000000000000000e+00,-1.439274322168641440e+01,4.294757417632609764e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.535587291032924129e-01,9.297153400454056804e-01,0.000000000000000000e+00,-1.428841992412354678e+01,4.276339045641258663e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.569395121580029806e-01,9.263345569906951127e-01,0.000000000000000000e+00,-1.418447529551734654e+01,4.258138408299991795e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.603202952127135483e-01,9.229537739359845450e-01,0.000000000000000000e+00,-1.408090933586781901e+01,4.240155505608810271e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.637010782674241161e-01,9.195729908812739772e-01,0.000000000000000000e+00,-1.397772204517496242e+01,4.222390337567715202e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.670818613221346838e-01,9.161922078265634095e-01,0.000000000000000000e+00,-1.387491342343877321e+01,4.204842904176705476e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.704626443768452515e-01,9.128114247718528418e-01,0.000000000000000000e+00,-1.377248347065925849e+01,4.187513205435782204e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.738434274315558192e-01,9.094306417171422741e-01,0.000000000000000000e+00,-1.367043218683641470e+01,4.170401241344945387e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.772242104862663870e-01,9.060498586624317063e-01,0.000000000000000000e+00,-1.356875957197024185e+01,4.153507011904192803e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.806049935409769547e-01,9.026690756077211386e-01,0.000000000000000000e+00,-1.346746562606073994e+01,4.136830517113527783e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.839857765956875224e-01,8.992882925530105709e-01,0.000000000000000000e+00,-1.336655034910790896e+01,4.120371756972946997e-01,0.000000000000000000e+00,0.000000000000000000e+00
