i,h_b1,k_b2,l_b3,Qx_over_GammaM,Qy_over_GammaM,Qz_over_GammaA,self_conjugate
1.000000000000000000e+00,5.000000000000000000e-01,0.000000000000000000e+00,5.000000000000000000e-01,8.660254037844385966e-01,-5.000000000000000000e-01,1.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e-01,5.000000000000000000e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
3.000000000000000000e+00,-5.000000000000000000e-01,-5.000000000000000000e-01,5.000000000000000000e-01,-8.660254037844385966e-01,-5.000000000000000000e-01,1.000000000000000000e+00,1.000000000000000000e+00
