u,kx_A^-1,ky_A^-1,E_v_eV,E_c1_periodic_chart_eV
-1.239999999999999991e+00,1.100444884308289017e+00,6.353421501837374086e-01,-2.671671375102361168e+01,6.190006430015616151e-02
-1.238750000000000018e+00,1.099335564868462178e+00,6.347016843065360625e-01,-2.666281610476455555e+01,6.146474190901687201e-02
-1.237500000000000044e+00,1.098226245428635339e+00,6.340612184293347164e-01,-2.660897281820922800e+01,6.103169274185218235e-02
-1.236250000000000071e+00,1.097116925988808500e+00,6.334207525521333704e-01,-2.655518389135765389e+01,6.060091679866212028e-02
-1.235000000000000098e+00,1.096007606548981661e+00,6.327802866749320243e-01,-2.650144932420981192e+01,6.017241407944665804e-02
-1.233750000000000124e+00,1.094898287109154600e+00,6.321398207977306782e-01,-2.644776911676570563e+01,5.974618458420578176e-02
-1.232499999999999929e+00,1.093788967669327539e+00,6.314993549205292211e-01,-2.639414326902533503e+01,5.932222831293949145e-02
-1.231249999999999956e+00,1.092679648229500700e+00,6.308588890433278751e-01,-2.634057178098872143e+01,5.890054526564789811e-02
-1.229999999999999982e+00,1.091570328789673860e+00,6.302184231661265290e-01,-2.628705465265584706e+01,5.848113544233091848e-02
-1.228750000000000009e+00,1.090461009349847021e+00,6.295779572889251829e-01,-2.623359188402670839e+01,5.806399884298856645e-02
-1.227500000000000036e+00,1.089351689910020182e+00,6.289374914117239479e-01,-2.618018347510131960e+01,5.764913546762085589e-02
-1.226250000000000062e+00,1.088242370470193121e+00,6.282970255345226018e-01,-2.612682942587965940e+01,5.723654531622766189e-02
-1.225000000000000089e+00,1.087133051030366282e+00,6.276565596573212558e-01,-2.607352973636174553e+01,5.682622838880916488e-02
-1.223750000000000115e+00,1.086023731590539443e+00,6.270160937801199097e-01,-2.602028440654757091e+01,5.641818468536528158e-02
-1.222500000000000142e+00,1.084914412150712604e+00,6.263756279029185636e-01,-2.596709343643714263e+01,5.601241420589601200e-02
-1.221249999999999947e+00,1.083805092710885543e+00,6.257351620257171065e-01,-2.591395682603044293e+01,5.560891695040127286e-02
-1.219999999999999973e+00,1.082695773271058703e+00,6.250946961485157605e-01,-2.586087457532749312e+01,5.520769291888125846e-02
-1.218750000000000000e+00,1.081586453831231642e+00,6.244542302713144144e-01,-2.580784668432827900e+01,5.480874211133577451e-02
-1.217500000000000027e+00,1.080477134391404803e+00,6.238137643941130683e-01,-2.575487315303281122e+01,5.441206452776498753e-02
-1.216250000000000053e+00,1.079367814951577964e+00,6.231732985169117223e-01,-2.570195398144108268e+01,5.401766016816880039e-02
-1.215000000000000080e+00,1.078258495511751125e+00,6.225328326397104872e-01,-2.564908916955309692e+01,5.362552903254725473e-02
-1.213750000000000107e+00,1.077149176071924286e+00,6.218923667625091412e-01,-2.559627871736885396e+01,5.323567112090030889e-02
-1.212500000000000133e+00,1.076039856632097225e+00,6.212519008853077951e-01,-2.554352262488833958e+01,5.284808643322792127e-02
-1.211250000000000160e+00,1.074930537192270386e+00,6.206114350081064490e-01,-2.549082089211157864e+01,5.246277496953021674e-02
-1.209999999999999964e+00,1.073821217752443324e+00,6.199709691309049919e-01,-2.543817351903854629e+01,5.207973672980705654e-02
-1.208749999999999991e+00,1.072711898312616485e+00,6.193305032537036459e-01,-2.538558050566926738e+01,5.169897171405857250e-02
-1.207500000000000018e+00,1.071602578872789646e+00,6.186900373765022998e-01,-2.533304185200372771e+01,5.132047992228471606e-02
-1.206250000000000044e+00,1.070493259432962807e+00,6.180495714993009537e-01,-2.528055755804192728e+01,5.094426135448548026e-02
-1.205000000000000071e+00,1.069383939993135746e+00,6.174091056220996077e-01,-2.522812762378386253e+01,5.057031601066080961e-02
-1.203750000000000098e+00,1.068274620553308907e+00,6.167686397448983726e-01,-2.517575204922954057e+01,5.019864389081082900e-02
-1.202500000000000124e+00,1.067165301113482068e+00,6.161281738676970265e-01,-2.512343083437896851e+01,4.982924499493544129e-02
-1.201249999999999929e+00,1.066055981673655007e+00,6.154877079904955695e-01,-2.507116397923211792e+01,4.946211932303460485e-02
-1.199999999999999956e+00,1.064946662233828167e+00,6.148472421132942234e-01,-2.501895148378902789e+01,4.909726687510845844e-02
-1.198749999999999982e+00,1.063837342794001328e+00,6.142067762360928773e-01,-2.496679334804967354e+01,4.873468765115692575e-02
-1.197500000000000009e+00,1.062728023354174267e+00,6.135663103588915313e-01,-2.491468957201405132e+01,4.837438165117995820e-02
-1.196250000000000036e+00,1.061618703914347428e+00,6.129258444816901852e-01,-2.486264015568217900e+01,4.801634887517766681e-02
-1.195000000000000062e+00,1.060509384474520589e+00,6.122853786044888391e-01,-2.481064509905404236e+01,4.766058932314998914e-02
-1.193750000000000089e+00,1.059400065034693750e+00,6.116449127272874930e-01,-2.475870440212965562e+01,4.730710299509693212e-02
-1.192500000000000115e+00,1.058290745594866911e+00,6.110044468500861470e-01,-2.470681806490900101e+01,4.695588989101848881e-02
-1.191250000000000142e+00,1.057181426155040072e+00,6.103639809728849119e-01,-2.465498608739209629e+01,4.660695001091468004e-02
-1.189999999999999947e+00,1.056072106715212788e+00,6.097235150956834548e-01,-2.460320846957890950e+01,4.626028335478535314e-02
-1.188749999999999973e+00,1.054962787275385949e+00,6.090830492184821088e-01,-2.455148521146948326e+01,4.591588992263076485e-02
-1.187500000000000000e+00,1.053853467835559110e+00,6.084425833412807627e-01,-2.449981631306379981e+01,4.557376971445079722e-02
-1.186250000000000027e+00,1.052744148395732271e+00,6.078021174640794166e-01,-2.444820177436185205e+01,4.523392273024544330e-02
-1.185000000000000053e+00,1.051634828955905432e+00,6.071616515868780706e-01,-2.439664159536365062e+01,4.489634897001470309e-02
-1.183750000000000080e+00,1.050525509516078593e+00,6.065211857096767245e-01,-2.434513577606918133e+01,4.456104843375858354e-02
-1.182500000000000107e+00,1.049416190076251532e+00,6.058807198324753784e-01,-2.429368431647845128e+01,4.422802112147703607e-02
-1.181250000000000133e+00,1.048306870636424692e+00,6.052402539552740324e-01,-2.424228721659147112e+01,4.389726703317014395e-02
